gene	meanA	meanB	log2fc	nCellA	nCellB	expCellA	expCellB	expFractionCellA	expFractionCellB	chisq.test.p	fisher.test.p	wilcox	fisher	p.adjust	isInqPCR	qPCR.neg	qPCR.pos	delta_delta_ct	qPCR.nCellA	qPCR.nCellB	qPCR.expCellA	qPCR.expCellB	qPCR.expFractionCellA	qPCR.expFractionCellB	qPCR.fisher.test.p	qPCR.wilcox	qPCR.fisher_combined_pvalue
CRKL	2.63431025056287	1.85710822890199	-0.777202021660882	23	17	10	9	0.434782608695652	0.529411764705882	0.785460545976495	0.749631221878163	0.835965484157921	0.919532995157927	1	TRUE	-5.34983006272337	-4.4912272391	0.858602823623371	88	92	78	88	0.886363636363636	0.956521739130435	0.0980857829297231	0.777990863612561	0.272651508731199
CTNNB1	4.91932343727652	4.86743014021798	-0.0518932970585402	23	17	21	16	0.91304347826087	0.941176470588235	0.999999999999999	1	0.641787450453726	0.926418968009351	1	TRUE	-4.93930564261113	-4.45993260202503	0.479373040586093	88	92	84	90	0.954545454545455	0.978260869565217	0.436342425864081	0.219034469216153	0.319967916692714
BCR	1.58518260351212	1.4493985013424	-0.135784102169714	23	17	10	9	0.434782608695652	0.529411764705882	0.785460545976495	0.749631221878163	0.882423480999073	0.934858536373473	1	TRUE	-4.35140480504688	-4.68426706258483	-0.332862257537959	88	92	84	90	0.954545454545455	0.978260869565217	0.436342425864081	0.000944043461061441	0.00362275359869013
IL1RAP	0.273223139658645	0.31549351192975	0.0422703722711051	23	17	2	1	0.0869565217391304	0.0588235294117647	0.999999999999999	1	0.764561358030863	0.969810146596614	1	TRUE	-15.1243731944327	-15.1381091465901	-0.0137359521573259	88	92	17	18	0.193181818181818	0.195652173913043	1	0.998347487450992	0.999998633848403
CD33	2.3293800637568	1.64607033091519	-0.683309732841608	23	17	7	5	0.304347826086957	0.294117647058824	1	1	0.83953312068514	0.98637531343984	1	TRUE	-14.9017772304909	-15.6547541277401	-0.752976897249175	88	92	18	13	0.204545454545455	0.141304347826087	0.324430332634428	0.251721184929492	0.286248896753193
CD52	6.79212223519137	7.45028530318877	0.658163067997401	23	17	20	15	0.869565217391304	0.882352941176471	1	1	0.869485513764042	0.991086198009134	1	TRUE	-1.7038159733794	-2.38947211230515	-0.685656138925754	88	92	87	89	0.988636363636364	0.967391304347826	0.621153228949562	0.0649225709817247	0.16980583766118
BCL6	0.332314195834398	0.435485404029988	0.10317120819559	23	17	1	1	0.0434782608695652	0.0588235294117647	0.999999999999998	1	0.884819874254937	0.993096332199169	1	TRUE	-16.8316006826548	-17.2956535614655	-0.464052878810669	88	92	3	0	0.0340909090909091	0	0.114803423095432	0.0759922853861739	0.0500912212840619
DPP4	0.260707355437139	0.230608023162588	-0.0300993322745513	23	17	1	1	0.0434782608695652	0.0588235294117647	0.999999999999998	1	0.884819874254937	0.993096332199169	1	TRUE	-16.6287463136237	-15.5788935959678	1.04985271765585	88	92	5	14	0.0568181818181818	0.152173913043478	0.0511493248401207	0.0422596536187623	0.0154268473207718
SIRT1	0.306246619258404	0.162754908761003	-0.143491710497401	23	17	1	1	0.0434782608695652	0.0588235294117647	0.999999999999998	1	0.884819874254937	0.993096332199169	1	TRUE	-10.3032678792477	-9.60321592227184	0.700051956975901	88	92	55	63	0.625	0.684782608695652	0.435037348781895	0.613208379301179	0.619269532897314
MPL	4.10789319962105	4.93649399405814	0.828600794437088	23	17	18	13	0.782608695652174	0.764705882352941	1	1	0.890576541135332	0.993782096305443	1	TRUE	-12.2175322314757	-11.2775005787695	0.9400316527062	88	92	40	49	0.454545454545455	0.532608695652174	0.301672224070362	0.261051540236937	0.27889639357758
ATG3	3.14575002363873	3.11189919795826	-0.0338508256804682	23	17	12	8	0.521739130434783	0.470588235294118	1	1	0.895299553956132	0.99431692669655	1	TRUE	-5.99589158282401	-6.05566510429116	-0.0597735214671529	88	92	79	83	0.897727272727273	0.902173913043478	1	0.904285794503068	0.995265829306674
GAPDH	10.2145153446321	10.5683370539873	0.353821709355211	23	17	22	17	0.956521739130435	1	1	1	0.978428664193549	0.999765647516974	1	TRUE	-0.383436873281344	-0.119189522632498	0.264247350648846	88	92	88	92	1	1	1	0.432147489865573	0.794714193847566
SLC22A1	0	0	0	23	17	0	0	0	0	NA	1	NA	NA	NA	TRUE	-17.2912172159926	-17.2956535614655	-0.00443634547291438	88	92	0	0	0	0	1	NA	NA
